;;хиляди левове;хиляди левове;хиляди левове;хиляди левове;левове;километър;километър;брой;брой;процент;процент;процент;процент;процент;процент;процент;процент;
BLG;2010;342999;3836155;2863954;821121;5683;-;87;325870;86088;64.9;15.9;60.4;23.6;92.1;6.4;1.4;0.1;
BLG;2011;396641;4456777;3280979;928330;5990;-;87;322025;88086;64.6;16.6;64.0;19.4;92.1;6.4;1.4;0.2;
BLG;2012;354424;4750769;3538757;992912;6271;-;87;320160;87591;65.4;17.7;64.8;17.5;92.7;5.9;1.2;0.2;
BLG;2013;425974;5294646;3961516;1123652;6566;-;87;318110;88589;63.3;18.0;60.0;22.0;92.9;5.8;1.2;0.1;
BLG;2014;495204;5642119;4206879;1135734;6818;-;87;315577;89016;62.6;19.6;56.6;23.8;93.4;5.4;1.1;0.1;
BLG;2015;560486;6410596;4805617;1373276;7181;19;74;312831;89286;63.4;19.5;57.7;22.8;93.3;5.6;1.0;0.1;
BLG;2016;427467;6554553;4876689;1476922;7658;19;75;310321;89355;64.0;19.4;58.8;21.9;93.7;5.3;0.9;0.1;
BLG;2017;487138;7379929;5579173;1555133;8297;19;75;307882;89746;69.2;19.9;60.5;19.6;93.5;5.5;0.9;0.1;
BLG;2018;539533;7592886;5620867;1670126;9024;43;75;305123;88781;71.0;20.7;60.1;19.2;93.6;5.5;0.8;0.1;
KNL;2005;78584;902560;680165;271775;3393;-;85;152714;39257;54.5;15.3;58.4;26.3;91.2;6.7;1.8;0.3;
KNL;2006;97372;998539;752886;261642;3593;-;85;150792;39613;58.2;17.9;61.6;20.5;90.2;7.6;1.8;0.4;
KNL;2007;149841;1150746;879020;297394;4186;-;85;149187;38564;63.9;16.0;67.1;16.9;91.1;7.0;1.6;0.3;
KNL;2008;174243;1288026;960449;314463;4924;-;85;147531;38328;63.8;16.1;64.1;19.8;91.4;6.8;1.5;0.3;
KNL;2009;80652;1093721;798078;269381;5454;-;85;145577;36060;61.5;17.7;62.4;19.9;92.5;6.1;1.3;0.2;
KNL;2010;82799;1180370;905381;305874;5891;-;85;143081;33145;60.8;17.2;66.2;16.6;92.8;5.7;1.3;0.2;
KNL;2011;80510;1338733;1001178;341588;6219;-;85;134990;32269;58.1;20.7;67.6;11.8;93.0;5.6;1.2;0.2;
KNL;2012;100924;1296055;979870;294935;6444;-;85;132813;31127;57.9;19.4;71.2;9.3;93.5;5.2;1.1;0.2;
KNL;2013;138845;1364242;1017134;329003;6880;-;85;130301;30696;57.4;22.5;67.8;9.7;93.7;5.0;1.1;0.2;
KNL;2014;139008;1678667;1265127;346039;7091;9;85;127969;30618;57.4;23.7;63.6;12.7;93.8;4.9;1.1;0.2;
KNL;2015;159583;1786607;1444463;407740;7486;42;85;126014;30900;60.2;23.7;62.0;14.3;93.5;5.2;1.1;0.2;
KNL;2016;136538;1595280;1208900;398072;7942;44;85;123431;30241;64.1;24.8;63.2;12.0;93.6;5.3;1.1;0.1;
KNL;2017;131625;1698342;1302866;421786;8642;44;85;121099;29410;67.1;25.2;63.3;11.4;93.4;5.4;1.1;0.1;
KNL;2018;133046;1856495;1410606;475714;9476;44;85;119041;29019;67.5;22.3;68.1;9.6;93.6;5.4;0.9;0.1;
PER;2005;139375;1347854;937629;298331;3440;-;80;140981;32189;56.4;15.5;64.0;20.5;90.4;7.6;1.6;0.3;
PER;2006;195947;1633724;1177120;313957;3740;-;80;139677;31799;56.9;15.1;66.3;18.6;90.5;7.5;1.7;0.3;
PER;2007;237041;2147341;1553886;414510;4447;-;80;138773;31650;59.3;16.5;66.5;17.0;90.8;7.2;1.7;0.3;
PER;2008;405789;2529637;2165077;633261;5511;-;80;137449;32732;63.5;17.0;67.4;15.6;90.9;7.2;1.7;0.3;
PER;2009;131626;1717040;1228393;248065;5710;-;80;136249;30705;62.4;16.8;69.3;13.9;92.0;6.4;1.3;0.3;
PER;2010;127510;1863151;1639738;345727;5890;-;80;134694;29106;61.9;16.3;69.6;14.0;92.4;6.1;1.2;0.3;
PER;2011;93861;2307258;1872426;382079;6080;10;80;131987;28396;61.1;16.7;69.1;14.2;92.5;6.1;1.2;0.3;
PER;2012;111836;2201659;1592687;328402;6392;9;80;130240;28254;61.7;16.6;70.3;13.1;93.0;5.6;1.1;0.3;
PER;2013;127231;1879880;1340281;303087;6719;17;79;128696;27239;60.4;16.9;71.2;11.9;93.2;5.5;1.1;0.2;
PER;2014;126798;2019411;1433169;319057;7063;17;79;127048;27164;61.6;17.8;69.6;12.6;93.2;5.5;1.1;0.2;
PER;2015;166121;2062014;1449518;324926;7514;17;80;125456;27560;62.5;22.6;67.2;10.3;93.2;5.5;1.1;0.2;
PER;2016;162083;2015847;1469150;398346;8449;15;80;123770;27148;61.9;18.6;71.2;10.2;93.4;5.4;1.0;0.2;
PER;2017;129837;2521860;1843582;481090;9321;15;80;122421;27344;66.5;19.9;69.6;10.5;93.5;5.3;1.0;0.2;
PER;2018;134062;2810830;2118420;543816;10321;15;80;120880;27704;66.7;23.8;63.8;12.4;93.3;5.5;1.0;0.2;
SFO;2005;343517;4036367;3469180;753885;3700;118;363;259961;59137;58.1;16.4;57.5;26.1;90.0;7.9;1.8;0.3;
SFO;2006;583369;6019854;4998911;1031985;4310;118;363;258397;59080;60.2;15.7;60.5;23.8;88.9;8.9;1.8;0.3;
SFO;2007;869314;6383635;5424376;1167268;5292;118;363;256511;61090;64.2;14.8;64.4;20.8;89.4;8.4;1.8;0.4;
SFO;2008;643259;6484514;5384187;849106;6302;118;363;254220;62289;66.1;13.9;64.2;21.9;89.6;8.4;1.8;0.3;
SFO;2009;561175;5903072;5463261;1252146;7026;118;363;253010;59215;67.9;12.3;65.2;22.5;91.4;7.1;1.4;0.2;
SFO;2010;547301;7136549;6467436;1091654;7749;118;363;250464;55216;62.5;13.1;69.3;17.6;91.7;6.8;1.3;0.2;
SFO;2011;486043;9211748;8028225;1563027;8360;129;363;245616;57184;59.6;15.3;70.3;14.4;91.8;6.7;1.3;0.2;
SFO;2012;571527;9423176;7961612;1595008;8926;129;356;243254;56900;59.6;15.0;68.7;16.3;92.0;6.5;1.3;0.2;
SFO;2013;444421;9718403;8232595;1469494;9252;137;357;240877;59393;59.5;14.4;67.2;18.4;92.0;6.4;1.4;0.2;
SFO;2014;563520;9761317;8270854;1567861;9766;137;357;238061;59694;59.6;15.8;62.2;22.0;92.3;6.2;1.3;0.2;
SFO;2015;720812;10168958;8861929;1742961;10507;137;357;237080;59397;59.2;16.8;61.3;21.9;92.3;6.3;1.2;0.2;
SFO;2016;648398;9409038;8122435;1922652;11230;145;373;234185;60808;57.9;13.8;62.2;24.0;92.3;6.3;1.2;0.2;
SFO;2017;628083;11846251;10582508;2423328;12149;138;317;231563;62300;66.4;13.1;67.0;19.9;92.4;6.2;1.2;0.2;
SFO;2018;719109;12495602;11015031;2309193;13425;138;317;229041;64083;73.3;13.6;74.1;12.3;92.5;6.1;1.2;0.2;
SOF;2005;5822176;52415551;26273788;8782231;5141;-;-;1231622;519624;62.8;43.0;48.7;8.3;86.0;11.3;2.3;0.5;
SOF;2006;7569751;63455677;31433907;10167212;5842;-;-;1237891;569403;67.1;43.4;49.4;7.2;85.1;12.0;2.5;0.5;
SOF;2007;12460288;79708654;42200792;14211025;7069;-;-;1240788;637625;70.9;45.5;48.5;6.0;87.2;10.2;2.2;0.4;
SOF;2008;13462911;96091187;51607808;16796809;9054;-;-;1247059;689319;73.9;46.0;48.7;5.3;88.4;9.3;1.9;0.3;
SOF;2009;9951139;86797640;48309562;15483790;9913;-;-;1249798;716916;73.3;45.6;49.0;5.4;90.5;7.7;1.5;0.3;
SOF;2010;7607931;85736852;44012467;15360015;10547;-;-;1259446;681864;70.6;44.8;50.0;5.3;91.4;7.0;1.4;0.3;
SOF;2011;8482783;92739144;45936214;15958271;11249;-;-;1296615;681915;67.2;42.7;52.0;5.3;91.5;6.9;1.3;0.3;
SOF;2012;7980131;96614400;47587133;16169631;12059;-;-;1302316;674504;66.9;42.9;52.4;4.7;91.9;6.6;1.3;0.2;
SOF;2013;7141450;97006318;48654185;17046864;12851;-;-;1309634;679356;67.5;45.8;50.9;3.3;92.1;6.4;1.2;0.3;
SOF;2014;8186075;103163203;50199774;17757810;13542;-;-;1316557;696588;69.2;48.6;48.3;3.1;92.3;6.2;1.2;0.3;
SOF;2015;7999484;112588741;57014406;20955694;14531;-;-;1319804;707299;71.7;49.6;47.3;3.1;92.4;6.2;1.2;0.2;
SOF;2016;7365956;110133836;55541798;22517348;15658;-;-;1323637;723290;72.5;51.4;45.6;3.0;92.5;6.1;1.2;0.2;
SOF;2017;6800190;120852064;61021153;25244483;17199;-;-;1325429;30749;74.6;50.8;46.2;3.0;92.3;6.3;1.2;0.2;
SOF;2018;7395448;131639633;66958201;27940250;19026;-;-;1328120;751111;75.6;51.4;44.4;4.2;92.5;6.1;1.2;0.2;
KRZ;2005;68095;593103;432268;171861;3255;-;77;158541;32631;50.6;10.2;35.5;54.3;91.4;6.8;1.4;0.5;
KRZ;2006;100015;807114;576826;159501;3515;-;77;157463;32445;50.1;12.6;36.9;50.5;90.4;7.6;1.6;0.4;
KRZ;2007;152472;1006378;775030;208452;4044;-;83;156652;33070;49.3;14.1;40.9;45.0;90.7;7.3;1.5;0.5;
KRZ;2008;165157;1024856;796935;211260;4988;-;83;156008;32143;52.9;13.3;40.7;46.0;90.2;7.9;1.4;0.4;
KRZ;2009;117036;901228;705870;248358;5465;-;83;154719;30766;52.9;11.3;38.8;49.9;91.7;6.8;1.3;0.3;
KRZ;2010;70589;889876;691656;242624;5643;-;83;153571;29259;46.3;10.3;40.1;49.5;92.2;6.4;1.2;0.3;
KRZ;2011;93491;913872;670861;238071;5895;-;83;152009;29410;51.5;8.9;47.0;44.1;91.9;6.4;1.4;0.3;
KRZ;2012;111975;902572;660552;280906;6266;-;95;151340;29757;55.1;11.2;45.0;43.8;92.0;6.3;1.4;0.3;
KRZ;2013;106429;1001818;691400;261226;6842;-;95;150605;29835;59.0;15.6;45.2;39.2;92.1;6.2;1.4;0.3;
KRZ;2014;187602;1196505;900476;328806;7222;-;73;152053;29458;61.1;19.8;42.7;37.5;92.2;6.1;1.5;0.2;
KRZ;2015;201181;1343308;1006742;399311;7648;-;73;151319;30498;58.8;17.2;47.7;35.1;92.1;6.2;1.5;0.2;
KRZ;2016;141206;1347027;1021338;423113;8335;-;73;150837;30599;60.0;15.0;54.7;30.3;92.6;5.7;1.5;0.2;
KRZ;2017;148535;1730611;1160505;446962;9285;-;73;151113;739542;60.5;13.8;53.1;33.1;92.0;6.3;1.5;0.2;
KRZ;2018;200740;1986421;1380140;540412;10419;-;73;152873;31313;58.6;16.8;47.5;35.7;92.2;6.1;1.5;0.2;
PAZ;2005;231423;1955961;1385873;543811;3307;51;59;297781;66532;53.2;11.3;46.5;42.2;88.3;9.3;2.1;0.3;
PAZ;2006;240453;2563803;1910841;811152;3661;51;59;296281;66338;55.4;12.1;51.8;36.1;86.3;10.9;2.5;0.3;
PAZ;2007;321029;3001475;2206626;840282;4352;51;59;294086;67693;62.4;13.9;60.0;26.1;86.8;10.6;2.3;0.3;
PAZ;2008;352712;3370366;2507653;794922;5324;51;59;292534;70517;63.1;15.4;58.4;26.2;87.2;10.3;2.3;0.3;
PAZ;2009;305520;2873677;2012704;767462;5620;51;59;290614;67803;61.5;15.2;59.4;25.4;91.0;7.3;1.5;0.2;
PAZ;2010;263158;3238922;2407192;957686;6087;51;59;287910;61272;57.8;15.2;59.2;25.6;91.8;6.6;1.4;0.2;
PAZ;2011;339604;3415402;2541361;961985;6368;51;59;273803;61892;54.0;16.9;56.1;27.1;91.7;6.8;1.3;0.2;
PAZ;2012;345055;3681988;2802795;1036071;6862;51;59;271721;60231;52.4;16.8;55.2;28.0;92.2;6.3;1.3;0.2;
PAZ;2013;332024;3745071;2826713;966668;7264;51;59;269287;59845;56.0;16.6;57.3;26.1;92.2;6.4;1.2;0.2;
PAZ;2014;405163;3895771;2929848;964628;7650;51;59;266549;60089;59.6;15.3;57.8;26.9;92.3;6.3;1.2;0.2;
PAZ;2015;434903;4057780;3072041;1032204;8006;51;59;263630;61129;59.7;16.8;56.6;26.6;92.1;6.6;1.1;0.2;
PAZ;2016;372040;4130649;3135109;1040598;8721;51;59;260814;61849;60.2;18.8;55.5;25.7;92.4;6.3;1.1;0.2;
PAZ;2017;428992;4458684;3411366;1191711;9468;51;59;257965;61829;64.6;19.1;58.0;22.9;92.4;6.2;1.2;0.2;
PAZ;2018;571407;4855565;3769278;1257829;10513;51;59;255479;62549;63.8;17.8;59.0;23.2;92.5;6.1;1.2;0.2;
PDV;2005;1116818;9603033;5356059;1734401;3409;50;129;707570;196990;54.3;18.7;49.3;32.0;89.8;8.2;1.7;0.3;
PDV;2006;1504473;11600316;6767638;1793089;3689;50;129;706413;206072;56.9;19.3;51.3;29.4;89.4;8.6;1.7;0.3;
PDV;2007;2436840;13598571;8481954;2443785;4311;50;129;705121;216431;62.1;18.5;55.8;25.7;88.6;9.1;2.0;0.3;
PDV;2008;2180272;15989809;9890888;2750854;5390;50;129;704057;222426;63.5;18.9;55.6;25.5;89.4;8.6;1.8;0.2;
PDV;2009;1433740;14901189;9118467;2851666;6054;50;129;701684;218876;60.7;20.6;55.6;23.8;90.9;7.5;1.4;0.2;
PDV;2010;1205169;15662967;9217112;2794159;6462;50;129;696300;208438;59.4;22.5;56.5;21.0;91.5;7.0;1.3;0.2;
PDV;2011;1462458;16940291;10279628;2942361;6889;50;129;680884;207599;58.4;23.6;57.3;19.2;91.5;7.1;1.3;0.2;
PDV;2012;1709472;18691332;11423573;3146844;7418;50;129;678860;205876;60.0;22.6;58.0;19.4;91.7;6.8;1.3;0.2;
PDV;2013;1554370;19385474;11851412;3417547;7922;50;129;678197;203933;61.2;23.4;57.3;19.3;91.8;6.7;1.3;0.2;
PDV;2014;1639346;20070340;12716566;3557383;8504;50;129;675586;207057;62.2;25.1;55.0;19.9;91.9;6.6;1.3;0.2;
PDV;2015;1772948;22201611;14192106;4290340;9084;50;129;673283;208990;62.1;25.4;54.9;19.7;91.9;6.6;1.3;0.2;
PDV;2016;1733934;22982212;14918112;4894410;9911;50;129;671573;214899;62.0;25.2;55.1;19.7;92.0;6.5;1.3;0.2;
PDV;2017;1684281;25343702;16271106;5316826;10771;50;129;669796;220592;70.1;26.7;54.4;18.8;91.9;6.6;1.3;0.2;
PDV;2018;1864372;26607016;17237534;5404046;11780;50;129;668334;221789;69.9;27.0;52.7;20.3;92.1;6.4;1.3;0.2;
SML;2005;113883;707037;532348;198077;3007;-;-;131010;36291;53.3;13.9;50.3;35.8;89.6;8.5;1.7;0.3;
SML;2006;149372;909853;698157;221939;3331;-;-;129731;36821;57.6;16.3;49.6;34.1;89.6;8.5;1.6;0.3;
SML;2007;230923;1055666;835746;262055;4028;-;-;128200;37765;61.9;16.7;54.4;28.9;89.1;9.1;1.6;0.3;
SML;2008;324895;1498625;1313758;376152;5259;-;-;126536;39035;64.9;18.1;52.1;29.8;89.8;8.3;1.7;0.3;
SML;2009;308407;1217933;1000300;337756;5867;-;-;124795;34341;59.7;18.0;50.4;31.5;91.0;7.5;1.3;0.2;
SML;2010;106394;1023606;820869;273293;6134;-;-;122602;31386;53.3;17.2;54.3;28.5;92.2;6.5;1.1;0.2;
SML;2011;130912;1140844;886969;312063;6122;-;-;120456;31490;50.4;16.6;57.5;25.9;92.2;6.6;0.9;0.3;
SML;2012;120781;1259233;1007692;358701;6516;-;-;118751;31302;55.3;18.2;58.3;23.5;92.1;6.7;1.0;0.2;
SML;2013;141179;1345165;1052634;379344;6800;-;-;116218;32216;59.3;20.0;58.0;22.0;92.3;6.4;1.0;0.3;
SML;2014;204252;1467013;1163314;419683;7253;-;-;113984;30952;61.2;21.0;57.0;22.0;92.1;6.6;1.1;0.2;
SML;2015;203648;1637365;1264439;381450;7679;-;-;111601;31145;63.9;21.7;56.5;21.8;91.9;6.8;1.1;0.2;
SML;2016;383865;1684957;1370223;460344;8504;-;-;109425;31232;63.6;23.2;57.9;18.9;92.2;6.4;1.2;0.2;
SML;2017;163755;1827636;1512123;555099;9133;-;-;107282;31771;68.1;23.8;60.7;15.5;91.8;6.7;1.2;0.3;
SML;2018;183232;1929149;1572212;578879;10145;-;-;105421;31476;67.7;22.5;62.3;15.3;91.9;6.7;1.1;0.3;
HKV;2005;155046;1987361;1218820;451447;3050;21;160;266073;59417;56.7;16.8;51.5;31.7;89.0;9.2;1.6;0.1;
HKV;2006;228271;2316632;1428748;416267;3236;21;160;264312;61750;59.1;16.8;54.9;28.3;89.5;8.9;1.4;0.2;
HKV;2007;338447;2650671;1724674;514996;3855;21;160;261726;62821;59.8;16.4;57.9;25.7;89.2;9.2;1.5;0.2;
HKV;2008;377405;3237870;2251718;684196;4922;21;160;259007;63273;63.4;18.0;54.9;27.1;89.8;8.6;1.5;0.1;
HKV;2009;214994;2717975;1781867;532689;5443;21;160;256408;59191;63.7;18.6;54.8;26.6;91.9;6.9;1.2;0.1;
HKV;2010;169555;2648073;1752938;516829;5638;40;155;253127;54571;60.5;19.4;56.3;24.3;92.2;6.6;1.1;0.1;
HKV;2011;192331;3066997;2020098;596218;5999;40;155;243955;54243;54.3;17.1;54.3;28.6;92.6;6.4;1.0;0.1;
HKV;2012;391339;3311817;2224727;618396;6267;40;155;241676;53576;55.0;18.5;56.0;25.5;92.6;6.3;1.0;0.1;
HKV;2013;208511;3470583;2232609;617691;6581;40;155;239312;53372;58.4;20.3;56.8;23.0;93.0;6.0;0.9;0.1;
HKV;2014;321235;3551766;2458607;680569;6947;44;155;237664;52083;61.9;19.3;57.1;23.6;93.2;5.7;1.0;0.1;
HKV;2015;288296;3683965;2568950;771620;7422;93;155;236383;52447;63.1;18.7;58.6;22.6;93.0;5.8;1.1;0.1;
HKV;2016;225640;3688061;2443909;818031;7964;93;155;233415;51841;64.2;17.2;60.0;22.7;93.4;5.6;1.0;0.1;
HKV;2017;254085;3846205;2604912;849511;8537;93;155;231276;52676;64.3;17.3;62.7;20.0;93.4;5.5;1.0;0.1;
HKV;2018;273136;4159594;2874098;905724;9623;91;155;228141;53653;66.0;20.1;58.9;21.0;93.5;5.4;1.0;0.1;
